Concept,Consensus,Shared_Factors_GCD,Extra_Factors_all-MiniLM-L6-v2,Extra_Factors_paraphrase-MiniLM-L3-v2
coating,False,[3],"[2, 5, 19, 29]",[]
rifleman,False,"[2, 3, 5, 11, 23]",[],[13]
Plaquenil,False,"[3, 13, 29]","[2, 5]",[17]
Actinozoa,False,"[3, 17, 19, 29]",[11],"[2, 5]"
Pascha,False,[7],"[13, 29]","[2, 3, 5, 11, 19, 23]"
Italia,False,"[2, 3, 5, 29]","[13, 17, 19]",[]
processional,False,"[2, 5, 7, 17, 29]",[19],[3]
anarchism,False,"[3, 5, 11, 17, 19, 29]",[7],[]
HRT,False,"[2, 17, 19]","[7, 11, 13, 29]","[3, 5, 23]"
carob,False,"[3, 11, 17, 29]","[5, 7]","[2, 13, 19, 23]"
tabouret,False,"[5, 11, 19]","[3, 13, 29]",[2]
drop,False,"[3, 19]","[5, 11, 13, 29]",[]
ferrimagnetism,False,"[3, 5]","[23, 29]","[2, 7, 17, 19]"
eelblenny,False,"[3, 5, 19, 29]",[13],"[11, 17]"
galactagogue,False,"[19, 29]","[3, 17]","[2, 5]"
pane,False,"[3, 5, 17, 19, 29]","[2, 13]",[]
compress,False,"[3, 5, 19]","[7, 13, 23]",[2]
Bangalore,False,"[3, 5, 19]","[17, 23]",[2]
fermenting,False,"[3, 5]","[23, 29]","[2, 11, 17, 19]"
rigourousness,False,"[3, 5, 11, 17, 19, 29]",[],[2]
Poulenc,False,"[11, 29]","[2, 3, 7, 19]","[5, 17, 23]"
osteosarcoma,False,"[13, 17]","[2, 3, 29]","[7, 19]"
Farsi,False,"[2, 17, 19, 29]","[7, 13, 23]","[3, 5, 11]"
groover,False,"[2, 3, 5, 29]",[13],"[11, 19, 23]"
namelessness,False,"[2, 5, 13, 17, 19]","[3, 11, 29]",[]
Brith,False,"[3, 5, 19, 29]","[2, 11, 17]",[]
glamourization,False,"[2, 3, 5, 19]","[7, 17, 29]",[23]
Glendower,False,"[2, 3, 5, 19, 29]",[],"[11, 17]"
Xenicus,False,"[17, 29]","[2, 11, 13]","[3, 5, 19]"
triumph,False,"[2, 3, 7, 17, 29]","[11, 13, 19]",[5]
gametogenesis,False,"[11, 29]",[17],"[2, 7, 13, 19]"
throughway,False,"[3, 5, 19, 29]","[13, 17]","[2, 11, 23]"
earplug,False,"[3, 13, 23, 29]",[5],[11]
snit,False,"[5, 19, 29]","[2, 3, 7, 13]","[11, 17]"
numismatics,False,"[3, 5, 7, 17]","[2, 11, 23]","[19, 29]"
ballet,False,"[2, 7, 19]","[13, 17, 29]","[5, 11]"
Latvia,False,"[3, 29]","[7, 11, 13, 17, 19]","[5, 23]"
thrombophlebitis,False,"[2, 3, 5, 17]","[11, 13, 29]",[19]
Carpodacus,False,"[11, 19, 29]","[5, 17]","[3, 13, 23]"
windbag,False,"[3, 5, 11, 19, 29]","[13, 17]","[2, 23]"
hemochromatosis,False,"[2, 5, 13, 29]",[11],"[17, 19]"
mediastinum,False,[23],"[3, 7, 29]","[5, 19]"
mandatory,False,"[2, 3, 17]","[7, 29]","[5, 13]"
Cheddar,False,"[17, 29]","[2, 3, 7, 13]","[5, 23]"
Anolis,False,"[2, 7, 13, 29]","[3, 5]","[11, 17, 19]"
hemangioma,False,[5],"[2, 11]","[3, 13, 17, 29]"
megacardia,False,"[13, 17, 29]",[11],"[2, 3, 7, 19, 23]"
beeper,False,"[19, 29]","[3, 7]","[5, 11, 13, 17, 23]"
boding,False,"[2, 3]",[29],"[5, 7, 11, 19]"
Etna,False,"[3, 7]",[11],"[2, 19]"
violation,False,"[3, 11, 17, 29]",[2],[23]
schizophrenia,False,"[11, 13, 17, 19]","[2, 3, 5]",[]
Nidularia,False,"[3, 17, 19]","[2, 5, 11, 13, 29]",[]
moksa,False,[3],"[2, 11]","[5, 17, 19]"
boffin,False,"[3, 5, 17, 19, 29]",[2],[13]
chad,False,"[3, 5, 19, 29]","[2, 7, 11]",[]
primness,False,"[5, 11, 17, 19, 29]",[13],[3]
osteoporosis,False,"[13, 17]","[2, 3, 23]","[11, 19, 29]"
Sturnidae,False,"[2, 11, 13, 29]","[5, 7]",[19]
redtail,False,"[2, 3, 11, 13]","[17, 29]","[5, 7, 19]"
precordium,False,"[2, 19]","[3, 5, 7, 11, 29]","[17, 23]"
mirth,False,"[2, 3, 7, 11, 17, 23]","[13, 19, 29]",[5]
assertion,False,"[5, 11, 17]","[3, 7, 19, 29]",[13]
sacrilege,False,"[11, 17]","[19, 29]","[3, 5]"
verdancy,False,"[2, 5, 13, 19, 29]","[7, 11]","[3, 23]"
screw,False,"[2, 5, 7, 19, 29]","[3, 13, 17]",[11]
Serbia,False,"[3, 5, 7, 17, 19]",[29],[]
Ezechiel,False,"[2, 13, 17, 19, 29]","[3, 7]","[5, 23]"
karyon,False,"[2, 5]","[3, 7, 11]","[17, 19, 23, 29]"
Johnson,False,"[3, 5, 19, 29]",[7],"[17, 23]"
person,False,"[2, 3, 5, 19]",[11],"[17, 23, 29]"
Pergamum,False,"[5, 11, 17, 19, 29]","[7, 13]",[2]
congruity,False,"[3, 5, 11, 13, 29]","[7, 23]","[2, 17]"
Peking,False,"[2, 5, 13, 19, 29]","[3, 11]","[7, 23]"
matchwood,False,"[2, 7, 19]","[3, 13, 29]",[5]
beheading,False,"[2, 17, 19, 29]","[3, 13]",[7]
Asteroidea,False,"[3, 11, 13, 17]",[2],"[7, 23, 29]"
Klansman,False,"[11, 17, 29]","[2, 3, 7, 19]",[5]
limbus,False,"[3, 5, 7, 11, 19, 29]",[2],[]
Saussure,False,"[2, 3, 5, 19]","[7, 29]","[11, 17]"
chokey,False,"[2, 3, 13, 19, 29]",[17],"[5, 7, 11]"
demonisation,False,"[2, 11, 17, 19, 23, 29]","[3, 7]",[5]
oka,False,[3],"[19, 23]","[2, 13, 17, 29]"
Tetraonidae,False,"[2, 7, 13]","[11, 29]","[17, 19, 23]"
fetology,False,"[17, 29]",[2],[5]
Ibsen,False,"[3, 19, 29]","[2, 5]","[7, 11]"
nephroangiosclerosis,False,"[3, 11, 13, 17, 29]",[5],"[7, 23]"
thumbtack,False,"[3, 5, 11, 19, 29]","[2, 17, 23]",[13]
paragrapher,False,"[2, 3, 5, 13, 17, 19, 29]",[],[11]
frypan,False,"[5, 19, 23]",[3],"[11, 29]"
triamcinolone,False,"[17, 29]","[2, 3, 13]",[]
butte,False,"[3, 11]","[7, 17]",[13]
swimsuit,False,"[2, 3, 7, 13]","[5, 29]",[11]
encephalogram,False,"[5, 17, 19, 29]",[2],"[7, 13]"
conductor,False,"[2, 3, 5, 19]",[],"[7, 23, 29]"
epigenesis,False,[29],"[7, 11]","[5, 17, 19]"
sedulousness,False,"[2, 3, 5, 29]","[11, 13, 19]",[17]
chloroquine,False,"[3, 5, 11, 29]",[19],"[2, 23]"
thousand,False,"[3, 13, 29]",[],"[5, 17]"
neuroma,False,"[17, 19, 29]","[2, 3, 5, 11]",[7]
moderatorship,False,"[2, 3, 5, 19]",[29],[17]
SALT,False,"[3, 5, 29]","[7, 19]","[11, 13, 23]"
devilwood,False,"[2, 3, 7, 19]",[13],"[5, 17]"
recusal,False,[5],"[3, 23, 29]","[11, 17, 19]"
mantispid,False,"[2, 5, 29]","[11, 13]","[3, 17, 19]"
categorisation,False,"[11, 29]",[],"[3, 5, 13, 17]"
Fusanus,False,"[5, 7]",[2],"[3, 17, 19, 23, 29]"
Dicotyledonae,False,"[7, 11, 13, 19, 29]",[5],[]
Kirghizia,False,"[3, 11, 17, 29]","[2, 5]","[13, 19]"
Ascaphidae,False,"[5, 11, 19, 29]","[3, 13]","[7, 17]"
Parcae,False,"[2, 3, 7, 11, 17, 29]",[5],[19]
earring,False,"[3, 11, 29]",[],"[5, 7, 23]"
Ancylus,False,"[2, 3, 19, 29]","[7, 11, 13]","[5, 17, 23]"
Prussian,False,"[2, 3, 5, 7, 17, 29]","[13, 19]",[]
neutering,False,"[5, 11, 17, 29]","[2, 3, 23]",[]
indelicacy,False,"[3, 5, 17]","[11, 13, 19, 23, 29]",[2]
gobble,False,"[11, 13, 17, 29]","[2, 3]","[7, 19]"
collectible,False,[],"[3, 7, 19]","[11, 13]"
Carcharhinus,False,"[2, 5, 11, 29]","[7, 13]","[3, 17, 19, 23]"
wench,False,"[2, 5, 17]",[],"[19, 29]"
truncation,False,"[3, 5, 11, 29]",[19],"[13, 17]"
nailbrush,False,"[5, 19, 23]","[2, 3, 13, 17]",[11]
exile,False,"[2, 7, 11, 17, 19, 29]",[3],"[5, 23]"
abolishment,False,"[2, 3, 11, 17]","[7, 29]",[19]
devise,False,"[2, 3, 5, 11, 19]","[7, 13]",[]
glossarist,False,"[2, 5, 13, 19]","[3, 17, 29]",[]
tastiness,False,"[3, 5, 11, 19, 29]","[2, 7]",[17]
fencer,False,"[3, 13, 19]","[2, 5]","[7, 29]"
Alyssum,False,"[2, 5, 13, 29]",[7],[3]
feminization,False,"[2, 5, 17, 19]","[11, 29]",[]
increase,False,"[3, 13, 29]",[],[7]
amyotonia,False,"[2, 17, 19, 29]","[5, 11]","[3, 13]"
ngwee,False,"[2, 5, 29]","[3, 7]","[19, 23]"
substrate,False,[5],"[3, 23, 29]",[2]
tectonics,False,"[2, 3, 17, 29]",[13],[]
tellurium,False,"[2, 3, 11, 13, 19]",[29],[17]
Eijkman,False,"[2, 5, 17, 29]","[3, 19]",[7]
Gymnadenia,False,"[2, 3, 5]","[17, 29]","[7, 19]"
Euclid,False,"[13, 29]","[3, 7, 11]","[2, 5, 17]"
broodmare,False,"[2, 5, 7, 11, 19, 29]",[],[13]
Ford,False,"[3, 5, 13, 29]",[7],"[17, 19, 23]"
imprecation,False,"[5, 11, 17, 29]",[],[3]
megathere,False,"[2, 3, 5, 19, 29]","[13, 23]","[7, 17]"
Sirach,False,"[5, 29]","[2, 3, 11, 13, 19]","[17, 23]"
soundness,False,"[2, 3, 11, 19, 23, 29]",[17],"[5, 13]"
pretermission,False,"[2, 3, 17, 19]","[7, 11, 29]",[5]
Plicatoperipatus,False,"[2, 11, 13, 29]",[],"[3, 5, 17, 23]"
teeoff,False,"[2, 3, 19]",[29],"[5, 11]"
cybercrime,False,"[3, 17]",[29],"[11, 19]"
dullness,False,"[3, 17, 19, 29]",[],"[5, 11, 13]"
mangonel,False,"[19, 29]","[3, 5]","[13, 23]"
ephemeralness,False,[29],"[11, 19]","[2, 5, 13, 23]"
tagger,False,"[3, 5, 17, 19]","[7, 11, 29]","[2, 13]"
brilliantine,False,"[3, 5, 19, 29]",[23],"[2, 17]"
tittivation,False,"[3, 5, 29]","[2, 11, 19]",[17]
Ruritania,False,"[3, 5, 29]","[2, 7, 11, 13, 19]",[17]
Rahu,False,[17],"[3, 11]","[2, 5, 19, 23]"
hostilities,False,"[2, 11, 17, 29]",[23],"[7, 19]"
pseudonym,False,"[2, 3, 5]","[11, 13, 29]",[19]
Decumaria,False,"[5, 17]","[2, 3, 7, 13]","[11, 29]"
nobody,False,"[2, 3, 5, 17, 19, 23, 29]","[7, 13]",[]
urging,False,"[2, 3, 13]","[7, 11, 17, 19, 23]",[5]
tiercel,False,"[3, 5, 19]",[29],[2]
gall,False,"[3, 17, 29]","[5, 7]","[11, 13]"
Neoplatonism,False,"[5, 17, 19, 29]","[2, 11]","[3, 7]"
chino,False,"[3, 5, 29]","[11, 13, 17]","[2, 23]"
Nerva,False,"[3, 5, 7]","[2, 11, 17]","[19, 29]"
Iseult,False,"[5, 29]","[2, 3, 13]","[7, 17, 19]"
configuration,False,"[2, 3, 7, 19, 29]","[13, 23]",[5]
ferroconcrete,False,"[3, 5]","[23, 29]","[11, 17]"
totaliser,False,"[2, 3, 5, 19]","[7, 13, 29]",[]
Coumarouna,False,"[3, 5]",[2],"[7, 17, 23]"
vizor,False,"[2, 5, 7, 29]",[],"[3, 11, 19, 23]"
jonquil,False,"[2, 3, 29]","[11, 17, 19]","[5, 7]"
disfiguration,False,"[19, 29]",[],"[3, 5, 17]"
Helwingia,False,"[2, 5, 17, 19, 29]","[3, 13]",[11]
cue,False,"[3, 11, 29]",[13],"[2, 5, 19]"
Faroese,False,"[2, 11, 13, 17, 29]","[3, 7]",[19]
inhibition,False,"[3, 13, 17]","[2, 19]","[11, 23]"
Adzhar,False,"[5, 19]","[7, 11]","[2, 17, 29]"
frigidity,False,"[3, 5, 13, 29]","[2, 23]","[11, 19]"
Northrop,False,"[2, 3, 29]","[7, 17, 19]","[5, 11]"
trismus,False,"[3, 5, 11, 17, 29]","[2, 7, 13]",[19]
dominee,False,"[2, 3, 5, 7, 19]","[11, 29]",[23]
arishth,False,"[3, 5, 17]","[2, 7]","[11, 19, 29]"
pinny,False,"[3, 19, 29]","[2, 11]",[5]
Lysippus,False,"[2, 5]","[3, 11, 13, 17]","[19, 23, 29]"
mung,False,[3],[5],"[2, 11, 13, 19]"
arthropathy,False,"[5, 11, 13, 17, 29]",[2],[19]
scatology,False,"[2, 5, 29]",[11],"[13, 17]"
Puffinus,False,"[2, 5, 11, 19, 29]","[7, 13]","[3, 23]"
Serzone,False,"[2, 3, 7, 11, 17, 19]","[5, 29]",[]
ascospore,False,[5],"[3, 29]","[2, 11, 17, 19]"
sunup,False,"[2, 13, 17, 19]","[3, 29]","[5, 23]"
sarcocystieian,False,"[2, 5, 17, 29]","[11, 19]",[23]
houseroom,False,"[5, 7, 11, 19, 29]","[2, 17]","[13, 23]"
tranylcypromine,False,[29],"[5, 11, 19]","[17, 23]"
misgiving,False,"[3, 11, 17, 19, 29]",[13],"[2, 5]"
Raphus,False,"[5, 7, 11, 19]","[2, 3, 17, 29]",[]
superabundance,False,"[2, 3, 17, 19]","[11, 29]",[5]
offense,False,"[2, 3, 17]","[19, 29]",[13]
Mycobacteriaceae,False,"[5, 13, 19, 29]",[],"[2, 3, 23]"
galbanum,False,"[3, 5, 29]","[7, 11]","[19, 23]"
Capreolus,False,"[3, 5, 17, 29]","[2, 13, 19]",[]
acidimetry,False,[],[2],"[3, 13, 17]"
warehouser,False,"[2, 3, 5, 19, 29]",[13],"[7, 11, 17, 23]"
Washingtonian,False,"[3, 11, 13, 17, 19, 29]",[2],[5]
seats,False,"[7, 11, 13, 17, 19, 29]",[5],[]
Mogadishu,False,"[2, 5, 11, 17, 19]","[3, 29]",[7]
memorialization,False,"[2, 3, 5, 7, 13, 17, 19, 29]",[],[11]
Hoyle,False,"[7, 13, 29]",[11],"[5, 19]"
emerald,False,"[3, 29]","[7, 13, 19]","[2, 23]"
schnozzle,False,"[2, 3, 5, 19]","[11, 29]",[17]
Cephalanthera,False,"[2, 3, 5, 19, 29]","[11, 13]","[7, 17, 23]"
mastigophoran,False,"[5, 7, 11]","[3, 13]","[23, 29]"
Nagari,False,"[5, 17, 19]",[13],"[3, 29]"
agraphia,False,[3],"[5, 11, 19, 29]","[7, 17]"
lingam,False,"[5, 19]",[],"[3, 11, 17, 29]"
lyricist,False,"[2, 5, 19]","[3, 29]",[]
lowering,False,"[3, 19]",[],"[2, 11, 13]"
anesthesia,False,"[2, 3, 5, 7, 11, 17, 19, 29]",[],[23]
silverbush,False,"[3, 5, 19]",[],"[13, 17]"
drape,False,"[3, 13]",[19],"[2, 5, 7, 11, 17, 23, 29]"
crash,False,"[3, 13, 29]","[2, 5, 11, 23]",[19]
omelet,False,"[3, 5, 13, 19, 29]","[2, 7]",[17]
edelweiss,False,"[2, 3, 13, 19, 29]",[17],[5]
spoilsport,False,"[2, 3, 7, 17, 19]",[29],[11]
atelier,False,"[13, 17, 19, 29]","[3, 11]","[2, 5, 7, 23]"
swiz,False,"[2, 3, 5, 29]",[7],"[11, 19, 23]"
octagon,False,"[11, 17]","[3, 13, 29]","[2, 5]"
tempo,False,"[2, 3, 19]","[7, 13, 29]","[5, 11]"
dope,False,[29],"[3, 7, 13, 19]","[5, 11]"
Handel,False,"[3, 5, 19, 29]","[2, 7, 13]","[11, 17]"
Omsk,False,"[2, 7, 17, 29]","[3, 11]","[5, 13, 19]"
ass,False,"[3, 11, 29]","[13, 17]","[2, 5, 19]"
serialisation,False,"[2, 19, 23, 29]","[5, 7, 11, 13]",[17]
aphrodisiac,False,"[11, 13, 17, 29]","[2, 3, 5, 19]",[]
dastard,False,"[2, 17, 19]","[3, 7, 11, 13]","[5, 29]"
Pythoninae,False,"[5, 11, 13, 19]","[2, 7]",[29]
Horta,False,"[5, 7, 11, 13]",[],"[3, 17, 19, 23, 29]"
frogfish,False,[17],"[3, 5, 19]","[7, 11, 13, 29]"
cheeseburger,False,"[2, 5, 17, 29]","[3, 7, 11, 19]",[13]
sorbent,False,"[2, 29]","[3, 7, 13, 19]","[5, 11, 17]"
Afroasiatic,False,"[3, 5, 19, 29]",[11],"[2, 17]"
hymnody,False,"[2, 5, 11, 13]","[17, 19, 29]",[23]
jiao,False,[2],"[3, 5, 11, 13]","[19, 23, 29]"
attractor,False,"[2, 3, 11, 23, 29]","[5, 13]","[7, 17, 19]"
Mordvin,False,"[5, 7, 19, 29]",[3],[11]
slobberer,False,"[2, 3, 5, 7, 19]",[],"[11, 17]"
tosser,False,"[2, 3, 19, 29]","[5, 17]","[7, 11, 13]"
Lobotes,False,"[2, 3, 5, 19, 29]","[7, 11, 13]",[23]
guild,False,"[2, 7, 11]","[3, 29]","[5, 19]"
Gambia,False,"[3, 7, 17, 19]",[5],[]
wintergreen,False,"[2, 3, 5]","[13, 17, 29]",[]
pasteurellosis,False,"[2, 3, 11, 17, 29]","[5, 13]",[19]
Incan,False,"[3, 11]","[2, 13, 29]","[7, 23]"
pug,False,"[5, 7, 29]","[2, 3, 11]","[13, 17, 19]"
osteoclast,False,"[13, 17]",[2],"[7, 11, 19, 29]"
bronchiole,False,"[2, 3, 5, 11]",[29],"[7, 13, 17, 19, 23]"
Hemigalus,False,"[2, 3, 5]","[11, 13]","[7, 19]"
runaway,False,"[3, 13, 19]",[2],"[17, 23, 29]"
Talmud,False,"[2, 5, 7, 11]","[3, 13, 19, 23]",[17]
wit,False,"[3, 5, 19, 29]",[23],[2]
Xylomelum,False,"[5, 29]",[13],"[17, 19]"
acataphasia,False,"[5, 11, 13, 17, 29]",[2],[7]
windlessness,False,"[2, 3, 17, 19, 29]",[13],[5]
Plantae,False,"[5, 7, 11, 19, 29]","[2, 17]",[13]
sickroom,False,"[3, 7, 11, 13, 17, 29]",[2],"[19, 23]"
limonene,False,"[5, 29]","[7, 11, 19]","[3, 17]"
