Concept 1,Concept 2,Dist. in all-MiniLM-L6-v2,Dist. in paraphrase-MiniLM-L3-v2,Chain in all-MiniLM-L6-v2,Chain in paraphrase-MiniLM-L3-v2
Acular,corkage,1,2,Acular ➡️ corkage,Acular ➡️ Umbria ➡️ corkage
Acular,fraise,1,2,Acular ➡️ fraise,Acular ➡️ Umbria ➡️ fraise
Acular,metabolite,1,2,Acular ➡️ metabolite,Acular ➡️ Hannover ➡️ metabolite
Acular,plasterboard,1,2,Acular ➡️ plasterboard,Acular ➡️ Umbria ➡️ plasterboard
Acular,substrate,1,2,Acular ➡️ substrate,Acular ➡️ Umbria ➡️ substrate
Acular,opium,1,2,Acular ➡️ opium,Acular ➡️ Umbria ➡️ opium
Acular,liquefaction,1,2,Acular ➡️ liquefaction,Acular ➡️ Umbria ➡️ liquefaction
Acular,ceriman,1,2,Acular ➡️ ceriman,Acular ➡️ Umbria ➡️ ceriman
Acular,quartet,1,2,Acular ➡️ quartet,Acular ➡️ Umbria ➡️ quartet
Acular,platelet,1,2,Acular ➡️ platelet,Acular ➡️ Umbria ➡️ platelet
Acular,naphtha,2,1,Acular ➡️ Umbria ➡️ naphtha,Acular ➡️ naphtha
Acular,exobiology,2,1,Acular ➡️ archiannelid ➡️ exobiology,Acular ➡️ exobiology
Acular,emulation,2,1,Acular ➡️ Umbria ➡️ emulation,Acular ➡️ emulation
Acular,Fatiha,2,1,Acular ➡️ Umbria ➡️ Fatiha,Acular ➡️ Fatiha
Acular,Toyonaki,2,1,Acular ➡️ Umbria ➡️ Toyonaki,Acular ➡️ Toyonaki
Acular,signalization,2,1,Acular ➡️ Umbria ➡️ signalization,Acular ➡️ signalization
Acular,brachydactyly,2,1,Acular ➡️ Umbria ➡️ brachydactyly,Acular ➡️ brachydactyly
Acular,disfiguration,2,1,Acular ➡️ Umbria ➡️ disfiguration,Acular ➡️ disfiguration
Acular,acidimetry,2,1,Acular ➡️ Umbria ➡️ acidimetry,Acular ➡️ acidimetry
Acular,hostilities,2,1,Acular ➡️ Umbria ➡️ hostilities,Acular ➡️ hostilities
Acular,ephemeralness,2,1,Acular ➡️ Umbria ➡️ ephemeralness,Acular ➡️ ephemeralness
Acular,Damascene,2,1,Acular ➡️ Umbria ➡️ Damascene,Acular ➡️ Damascene
Acular,Sacco,2,1,Acular ➡️ Umbria ➡️ Sacco,Acular ➡️ Sacco
Acular,spherocyte,2,1,Acular ➡️ archiannelid ➡️ spherocyte,Acular ➡️ spherocyte
Acular,Pinnotheridae,2,1,Acular ➡️ Umbria ➡️ Pinnotheridae,Acular ➡️ Pinnotheridae
Acular,conductivity,2,1,Acular ➡️ Umbria ➡️ conductivity,Acular ➡️ conductivity
Acular,intifadah,2,1,Acular ➡️ Umbria ➡️ intifadah,Acular ➡️ intifadah
Acular,coherence,2,1,Acular ➡️ Umbria ➡️ coherence,Acular ➡️ coherence
Acular,sacrilege,2,1,Acular ➡️ Umbria ➡️ sacrilege,Acular ➡️ sacrilege
Acular,categorisation,2,1,Acular ➡️ archiannelid ➡️ categorisation,Acular ➡️ categorisation
Acular,epigenesis,2,1,Acular ➡️ Umbria ➡️ epigenesis,Acular ➡️ epigenesis
Acular,fetology,2,1,Acular ➡️ Umbria ➡️ fetology,Acular ➡️ fetology
Acular,gametogenesis,2,1,Acular ➡️ archiannelid ➡️ gametogenesis,Acular ➡️ gametogenesis
Acular,roentgenogram,2,1,Acular ➡️ Umbria ➡️ roentgenogram,Acular ➡️ roentgenogram
Acular,bologram,2,1,Acular ➡️ Umbria ➡️ bologram,Acular ➡️ bologram
Acular,medulla,2,1,Acular ➡️ Umbria ➡️ medulla,Acular ➡️ medulla
Acular,mantissa,2,1,Acular ➡️ Umbria ➡️ mantissa,Acular ➡️ mantissa
Acular,corollary,2,1,Acular ➡️ archiannelid ➡️ corollary,Acular ➡️ corollary
Acular,eggs,2,1,Acular ➡️ Umbria ➡️ eggs,Acular ➡️ eggs
Acular,ectoproct,2,1,Acular ➡️ Umbria ➡️ ectoproct,Acular ➡️ ectoproct
Acular,demesne,2,1,Acular ➡️ Umbria ➡️ demesne,Acular ➡️ demesne
Acular,Bougainvillaea,2,1,Acular ➡️ Umbria ➡️ Bougainvillaea,Acular ➡️ Bougainvillaea
Acular,catabiosis,2,1,Acular ➡️ Umbria ➡️ catabiosis,Acular ➡️ catabiosis
Acular,homogeny,2,1,Acular ➡️ Umbria ➡️ homogeny,Acular ➡️ homogeny
Acular,Pithecellobium,2,1,Acular ➡️ Umbria ➡️ Pithecellobium,Acular ➡️ Pithecellobium
Acular,Sardis,2,1,Acular ➡️ Umbria ➡️ Sardis,Acular ➡️ Sardis
Acular,epidendron,2,1,Acular ➡️ Umbria ➡️ epidendron,Acular ➡️ epidendron
Adalia,reelection,1,2,Adalia ➡️ reelection,Adalia ➡️ archiannelid ➡️ reelection
Adalia,videotape,1,2,Adalia ➡️ videotape,Adalia ➡️ archiannelid ➡️ videotape
Adalia,trapezoid,1,2,Adalia ➡️ trapezoid,Adalia ➡️ archiannelid ➡️ trapezoid
Adalia,catch,1,2,Adalia ➡️ catch,Adalia ➡️ archiannelid ➡️ catch
Adalia,rosette,1,2,Adalia ➡️ rosette,Adalia ➡️ archiannelid ➡️ rosette
Adalia,clouding,2,1,Adalia ➡️ Umbria ➡️ clouding,Adalia ➡️ clouding
Adalia,amelogenesis,2,1,Adalia ➡️ flub ➡️ amelogenesis,Adalia ➡️ amelogenesis
Adalia,signalization,2,1,Adalia ➡️ Umbria ➡️ signalization,Adalia ➡️ signalization
Adalia,disfiguration,2,1,Adalia ➡️ Umbria ➡️ disfiguration,Adalia ➡️ disfiguration
Adalia,Sacco,2,1,Adalia ➡️ Umbria ➡️ Sacco,Adalia ➡️ Sacco
Adrianopolis,hemostat,1,2,Adrianopolis ➡️ hemostat,Adrianopolis ➡️ Umbria ➡️ hemostat
Adrianopolis,rosette,1,2,Adrianopolis ➡️ rosette,Adrianopolis ➡️ archiannelid ➡️ rosette
Adzhar,collectible,1,2,Adzhar ➡️ collectible,Adzhar ➡️ archiannelid ➡️ collectible
Adzhar,Incan,1,2,Adzhar ➡️ Incan,Adzhar ➡️ Umbria ➡️ Incan
Adzhar,butte,1,2,Adzhar ➡️ butte,Adzhar ➡️ Umbria ➡️ butte
Adzhar,coating,1,2,Adzhar ➡️ coating,Adzhar ➡️ Umbria ➡️ coating
Adzhar,earplug,1,2,Adzhar ➡️ earplug,Adzhar ➡️ Umbria ➡️ earplug
Adzhar,graylag,1,2,Adzhar ➡️ graylag,Adzhar ➡️ flub ➡️ graylag
Adzhar,acidimetry,2,1,Adzhar ➡️ Umbria ➡️ acidimetry,Adzhar ➡️ acidimetry
Adzhar,tectonics,2,1,Adzhar ➡️ Umbria ➡️ tectonics,Adzhar ➡️ tectonics
Adzhar,cybercrime,2,1,Adzhar ➡️ Umbria ➡️ cybercrime,Adzhar ➡️ cybercrime
Adzhar,nonuniformity,2,1,Adzhar ➡️ Umbria ➡️ nonuniformity,Adzhar ➡️ nonuniformity
Adzhar,hustler,2,1,Adzhar ➡️ Umbria ➡️ hustler,Adzhar ➡️ hustler
Adzhar,osteoclast,2,1,Adzhar ➡️ Umbria ➡️ osteoclast,Adzhar ➡️ osteoclast
Adzhar,thenar,2,1,Adzhar ➡️ Umbria ➡️ thenar,Adzhar ➡️ thenar
Adzhar,conductivity,2,1,Adzhar ➡️ Umbria ➡️ conductivity,Adzhar ➡️ conductivity
Adzhar,welding,2,1,Adzhar ➡️ Umbria ➡️ welding,Adzhar ➡️ welding
Adzhar,intifadah,2,1,Adzhar ➡️ Umbria ➡️ intifadah,Adzhar ➡️ intifadah
Adzhar,bulghur,2,1,Adzhar ➡️ Umbria ➡️ bulghur,Adzhar ➡️ bulghur
Adzhar,pleximeter,2,1,Adzhar ➡️ Umbria ➡️ pleximeter,Adzhar ➡️ pleximeter
Adzhar,cryoscope,2,1,Adzhar ➡️ Umbria ➡️ cryoscope,Adzhar ➡️ cryoscope
Adzhar,osteoporosis,2,1,Adzhar ➡️ Umbria ➡️ osteoporosis,Adzhar ➡️ osteoporosis
Adzhar,thousand,2,1,Adzhar ➡️ Umbria ➡️ thousand,Adzhar ➡️ thousand
Adzhar,triamcinolone,2,1,Adzhar ➡️ Umbria ➡️ triamcinolone,Adzhar ➡️ triamcinolone
Adzhar,fetology,2,1,Adzhar ➡️ Umbria ➡️ fetology,Adzhar ➡️ fetology
Adzhar,boding,2,1,Adzhar ➡️ Umbria ➡️ boding,Adzhar ➡️ boding
Adzhar,Evenki,2,1,Adzhar ➡️ Umbria ➡️ Evenki,Adzhar ➡️ Evenki
Adzhar,osteosarcoma,2,1,Adzhar ➡️ Umbria ➡️ osteosarcoma,Adzhar ➡️ osteosarcoma
Adzhar,ectomorphy,2,1,Adzhar ➡️ Umbria ➡️ ectomorphy,Adzhar ➡️ ectomorphy
Adzhar,Megalosauridae,2,1,Adzhar ➡️ Umbria ➡️ Megalosauridae,Adzhar ➡️ Megalosauridae
Adzhar,scape,2,1,Adzhar ➡️ Umbria ➡️ scape,Adzhar ➡️ scape
Adzhar,bologram,2,1,Adzhar ➡️ Umbria ➡️ bologram,Adzhar ➡️ bologram
Adzhar,alchemist,2,1,Adzhar ➡️ Umbria ➡️ alchemist,Adzhar ➡️ alchemist
Adzhar,fundamentals,2,1,Adzhar ➡️ Umbria ➡️ fundamentals,Adzhar ➡️ fundamentals
Adzhar,asbestos,2,1,Adzhar ➡️ Umbria ➡️ asbestos,Adzhar ➡️ asbestos
Adzhar,planography,2,1,Adzhar ➡️ Umbria ➡️ planography,Adzhar ➡️ planography
Adzhar,esophagoscope,2,1,Adzhar ➡️ Umbria ➡️ esophagoscope,Adzhar ➡️ esophagoscope
Adzhar,ectoproct,2,1,Adzhar ➡️ Umbria ➡️ ectoproct,Adzhar ➡️ ectoproct
Adzhar,Zapotecan,2,1,Adzhar ➡️ Umbria ➡️ Zapotecan,Adzhar ➡️ Zapotecan
Adzhar,mapmaking,2,1,Adzhar ➡️ Umbria ➡️ mapmaking,Adzhar ➡️ mapmaking
Adzhar,lowland,2,1,Adzhar ➡️ Umbria ➡️ lowland,Adzhar ➡️ lowland
Adzhar,angstrom,2,1,Adzhar ➡️ Umbria ➡️ angstrom,Adzhar ➡️ angstrom
Adzhar,mechanisation,2,1,Adzhar ➡️ Umbria ➡️ mechanisation,Adzhar ➡️ mechanisation
Adzhar,biometry,2,1,Adzhar ➡️ Umbria ➡️ biometry,Adzhar ➡️ biometry
Adzhar,evidence,2,1,Adzhar ➡️ Umbria ➡️ evidence,Adzhar ➡️ evidence
Adzhar,Asio,2,1,Adzhar ➡️ Umbria ➡️ Asio,Adzhar ➡️ Asio
Adzhar,otoscope,2,1,Adzhar ➡️ Umbria ➡️ otoscope,Adzhar ➡️ otoscope
Adzhar,biohazard,2,1,Adzhar ➡️ Umbria ➡️ biohazard,Adzhar ➡️ biohazard
Aepyornidae,Latvia,1,2,Aepyornidae ➡️ Latvia,Aepyornidae ➡️ Umbria ➡️ Latvia
Aepyornidae,Lactuca,1,2,Aepyornidae ➡️ Lactuca,Aepyornidae ➡️ Umbria ➡️ Lactuca
Aepyornidae,ELA,1,2,Aepyornidae ➡️ ELA,Aepyornidae ➡️ Umbria ➡️ ELA
Aepyornidae,Espana,1,2,Aepyornidae ➡️ Espana,Aepyornidae ➡️ Umbria ➡️ Espana
Aepyornidae,lipidosis,1,2,Aepyornidae ➡️ lipidosis,Aepyornidae ➡️ Umbria ➡️ lipidosis
Aepyornidae,MEd,1,2,Aepyornidae ➡️ MEd,Aepyornidae ➡️ Umbria ➡️ MEd
Aepyornidae,ceriman,1,2,Aepyornidae ➡️ ceriman,Aepyornidae ➡️ Umbria ➡️ ceriman
Aepyornidae,telco,1,2,Aepyornidae ➡️ telco,Aepyornidae ➡️ Umbria ➡️ telco
Aepyornidae,quartet,1,2,Aepyornidae ➡️ quartet,Aepyornidae ➡️ Umbria ➡️ quartet
Aepyornidae,plaintiff,1,2,Aepyornidae ➡️ plaintiff,Aepyornidae ➡️ Umbria ➡️ plaintiff
Aepyornidae,Orono,1,2,Aepyornidae ➡️ Orono,Aepyornidae ➡️ Umbria ➡️ Orono
Aepyornidae,platelet,1,2,Aepyornidae ➡️ platelet,Aepyornidae ➡️ Umbria ➡️ platelet
Aepyornidae,redpoll,1,2,Aepyornidae ➡️ redpoll,Aepyornidae ➡️ Umbria ➡️ redpoll
Aepyornidae,cadenza,1,2,Aepyornidae ➡️ cadenza,Aepyornidae ➡️ Umbria ➡️ cadenza
Aepyornidae,clarion,1,2,Aepyornidae ➡️ clarion,Aepyornidae ➡️ Umbria ➡️ clarion
Aepyornidae,Chamaeleo,1,2,Aepyornidae ➡️ Chamaeleo,Aepyornidae ➡️ Umbria ➡️ Chamaeleo
Aepyornidae,corbel,1,2,Aepyornidae ➡️ corbel,Aepyornidae ➡️ Umbria ➡️ corbel
Aepyornidae,hemostat,1,2,Aepyornidae ➡️ hemostat,Aepyornidae ➡️ Umbria ➡️ hemostat
Aepyornidae,galactagogue,2,1,Aepyornidae ➡️ Umbria ➡️ galactagogue,Aepyornidae ➡️ galactagogue
Aepyornidae,cetchup,2,1,Aepyornidae ➡️ Umbria ➡️ cetchup,Aepyornidae ➡️ cetchup
Aepyornidae,ephah,2,1,Aepyornidae ➡️ Umbria ➡️ ephah,Aepyornidae ➡️ ephah
Aepyornidae,bologram,2,1,Aepyornidae ➡️ Umbria ➡️ bologram,Aepyornidae ➡️ bologram
Aepyornidae,strickle,2,1,Aepyornidae ➡️ Umbria ➡️ strickle,Aepyornidae ➡️ strickle
Aepyornidae,medulla,2,1,Aepyornidae ➡️ Umbria ➡️ medulla,Aepyornidae ➡️ medulla
Aepyornidae,Cestum,2,1,Aepyornidae ➡️ Umbria ➡️ Cestum,Aepyornidae ➡️ Cestum
Aepyornidae,groundmass,2,1,Aepyornidae ➡️ Umbria ➡️ groundmass,Aepyornidae ➡️ groundmass
Aepyornidae,Bombina,2,1,Aepyornidae ➡️ Umbria ➡️ Bombina,Aepyornidae ➡️ Bombina
Aepyornidae,tailgate,2,1,Aepyornidae ➡️ Umbria ➡️ tailgate,Aepyornidae ➡️ tailgate
Aepyornidae,esophagoscope,2,1,Aepyornidae ➡️ Umbria ➡️ esophagoscope,Aepyornidae ➡️ esophagoscope
Aepyornidae,ectoproct,2,1,Aepyornidae ➡️ Umbria ➡️ ectoproct,Aepyornidae ➡️ ectoproct
Aepyornidae,NW,2,1,Aepyornidae ➡️ Umbria ➡️ NW,Aepyornidae ➡️ NW
Aepyornidae,Scomberesox,2,1,Aepyornidae ➡️ Umbria ➡️ Scomberesox,Aepyornidae ➡️ Scomberesox
Aepyornidae,lowland,2,1,Aepyornidae ➡️ Umbria ➡️ lowland,Aepyornidae ➡️ lowland
Aepyornidae,Firenze,2,1,Aepyornidae ➡️ Umbria ➡️ Firenze,Aepyornidae ➡️ Firenze
Aepyornidae,angstrom,2,1,Aepyornidae ➡️ Umbria ➡️ angstrom,Aepyornidae ➡️ angstrom
Aepyornidae,dose,2,1,Aepyornidae ➡️ Umbria ➡️ dose,Aepyornidae ➡️ dose
Aepyornidae,catabiosis,2,1,Aepyornidae ➡️ Umbria ➡️ catabiosis,Aepyornidae ➡️ catabiosis
Aepyornidae,Pithecellobium,2,1,Aepyornidae ➡️ Umbria ➡️ Pithecellobium,Aepyornidae ➡️ Pithecellobium
Aepyornidae,rosebush,2,1,Aepyornidae ➡️ Umbria ➡️ rosebush,Aepyornidae ➡️ rosebush
Aepyornidae,pitahaya,2,1,Aepyornidae ➡️ Umbria ➡️ pitahaya,Aepyornidae ➡️ pitahaya
Aepyornidae,biohazard,2,1,Aepyornidae ➡️ Umbria ➡️ biohazard,Aepyornidae ➡️ biohazard
Aepyornidae,rosette,2,1,Aepyornidae ➡️ Umbria ➡️ rosette,Aepyornidae ➡️ rosette
Aepyornidae,offense,2,1,Aepyornidae ➡️ Umbria ➡️ offense,Aepyornidae ➡️ offense
Aerobacter,fraxinella,1,2,Aerobacter ➡️ fraxinella,Aerobacter ➡️ Umbria ➡️ fraxinella
Aerobacter,graylag,1,2,Aerobacter ➡️ graylag,Aerobacter ➡️ flub ➡️ graylag
Aerobacter,cephaloglycin,1,2,Aerobacter ➡️ cephaloglycin,Aerobacter ➡️ Umbria ➡️ cephaloglycin
Aerobacter,lowland,2,1,Aerobacter ➡️ Umbria ➡️ lowland,Aerobacter ➡️ lowland
Aerobacter,angstrom,2,1,Aerobacter ➡️ Umbria ➡️ angstrom,Aerobacter ➡️ angstrom
Aerobacter,verticalness,2,1,Aerobacter ➡️ Umbria ➡️ verticalness,Aerobacter ➡️ verticalness
Aerobacter,Bougainvillaea,2,1,Aerobacter ➡️ Umbria ➡️ Bougainvillaea,Aerobacter ➡️ Bougainvillaea
Aerobacter,biometry,2,1,Aerobacter ➡️ Umbria ➡️ biometry,Aerobacter ➡️ biometry
Aerobacter,otoscope,2,1,Aerobacter ➡️ Umbria ➡️ otoscope,Aerobacter ➡️ otoscope
Aerobacter,biohazard,2,1,Aerobacter ➡️ Umbria ➡️ biohazard,Aerobacter ➡️ biohazard
Aesculapius,graylag,1,2,Aesculapius ➡️ graylag,Aesculapius ➡️ flub ➡️ graylag
Aesculapius,Bougainvillaea,2,1,Aesculapius ➡️ Umbria ➡️ Bougainvillaea,Aesculapius ➡️ Bougainvillaea
Aesculapius,homogeny,2,1,Aesculapius ➡️ Umbria ➡️ homogeny,Aesculapius ➡️ homogeny
Aether,deoxycytidine,1,2,Aether ➡️ deoxycytidine,Aether ➡️ Umbria ➡️ deoxycytidine
Aether,aplacophoran,1,2,Aether ➡️ aplacophoran,Aether ➡️ Umbria ➡️ aplacophoran
Aether,Wampanoag,1,2,Aether ➡️ Wampanoag,Aether ➡️ Umbria ➡️ Wampanoag
Aether,Ophiuroidea,1,2,Aether ➡️ Ophiuroidea,Aether ➡️ Umbria ➡️ Ophiuroidea
Aether,decompression,1,2,Aether ➡️ decompression,Aether ➡️ Umbria ➡️ decompression
Aether,phosphorus,1,2,Aether ➡️ phosphorus,Aether ➡️ Umbria ➡️ phosphorus
Aether,trireme,1,2,Aether ➡️ trireme,Aether ➡️ Umbria ➡️ trireme
Aether,confetti,1,2,Aether ➡️ confetti,Aether ➡️ Umbria ➡️ confetti
Aether,tranylcypromine,1,2,Aether ➡️ tranylcypromine,Aether ➡️ Umbria ➡️ tranylcypromine
Aether,acidimetry,1,2,Aether ➡️ acidimetry,Aether ➡️ Umbria ➡️ acidimetry
Aether,triamcinolone,1,2,Aether ➡️ triamcinolone,Aether ➡️ Umbria ➡️ triamcinolone
Aether,Plaquenil,1,2,Aether ➡️ Plaquenil,Aether ➡️ Umbria ➡️ Plaquenil
Aether,coating,1,2,Aether ➡️ coating,Aether ➡️ Umbria ➡️ coating
Aether,rifampin,1,2,Aether ➡️ rifampin,Aether ➡️ Umbria ➡️ rifampin
Aether,estrone,1,2,Aether ➡️ estrone,Aether ➡️ Umbria ➡️ estrone
Aether,Madoqua,1,2,Aether ➡️ Madoqua,Aether ➡️ Umbria ➡️ Madoqua
Aether,argal,1,2,Aether ➡️ argal,Aether ➡️ Umbria ➡️ argal
Aether,demesne,1,2,Aether ➡️ demesne,Aether ➡️ Umbria ➡️ demesne
Aether,fraxinella,1,2,Aether ➡️ fraxinella,Aether ➡️ Umbria ➡️ fraxinella
Aether,graylag,1,2,Aether ➡️ graylag,Aether ➡️ flub ➡️ graylag
Aether,cephaloglycin,1,2,Aether ➡️ cephaloglycin,Aether ➡️ Umbria ➡️ cephaloglycin
Aether,sterilisation,2,1,Aether ➡️ Umbria ➡️ sterilisation,Aether ➡️ sterilisation
Aether,amelogenesis,2,1,Aether ➡️ flub ➡️ amelogenesis,Aether ➡️ amelogenesis
Aether,exobiology,2,1,Aether ➡️ archiannelid ➡️ exobiology,Aether ➡️ exobiology
Aether,spherocyte,2,1,Aether ➡️ archiannelid ➡️ spherocyte,Aether ➡️ spherocyte
Aether,categorisation,2,1,Aether ➡️ archiannelid ➡️ categorisation,Aether ➡️ categorisation
Aether,epigenesis,2,1,Aether ➡️ Umbria ➡️ epigenesis,Aether ➡️ epigenesis
Aether,gametogenesis,2,1,Aether ➡️ archiannelid ➡️ gametogenesis,Aether ➡️ gametogenesis
Aether,roentgenogram,2,1,Aether ➡️ Umbria ➡️ roentgenogram,Aether ➡️ roentgenogram
Aether,corollary,2,1,Aether ➡️ archiannelid ➡️ corollary,Aether ➡️ corollary
Aether,Bougainvillaea,2,1,Aether ➡️ Umbria ➡️ Bougainvillaea,Aether ➡️ Bougainvillaea
Afroasiatic,graylag,1,2,Afroasiatic ➡️ graylag,Afroasiatic ➡️ flub ➡️ graylag
Afroasiatic,conductivity,2,1,Afroasiatic ➡️ Umbria ➡️ conductivity,Afroasiatic ➡️ conductivity
Afroasiatic,intifadah,2,1,Afroasiatic ➡️ Umbria ➡️ intifadah,Afroasiatic ➡️ intifadah
Afroasiatic,fetology,2,1,Afroasiatic ➡️ Umbria ➡️ fetology,Afroasiatic ➡️ fetology
Afroasiatic,Pascha,2,1,Afroasiatic ➡️ Umbria ➡️ Pascha,Afroasiatic ➡️ Pascha
Afroasiatic,Evenki,2,1,Afroasiatic ➡️ Umbria ➡️ Evenki,Afroasiatic ➡️ Evenki
Afroasiatic,ectomorphy,2,1,Afroasiatic ➡️ Umbria ➡️ ectomorphy,Afroasiatic ➡️ ectomorphy
Afroasiatic,roentgenogram,2,1,Afroasiatic ➡️ Umbria ➡️ roentgenogram,Afroasiatic ➡️ roentgenogram
Afroasiatic,float,2,1,Afroasiatic ➡️ Umbria ➡️ float,Afroasiatic ➡️ float
Afroasiatic,Megalosauridae,2,1,Afroasiatic ➡️ Umbria ➡️ Megalosauridae,Afroasiatic ➡️ Megalosauridae
Afroasiatic,bologram,2,1,Afroasiatic ➡️ Umbria ➡️ bologram,Afroasiatic ➡️ bologram
Afroasiatic,alchemist,2,1,Afroasiatic ➡️ Umbria ➡️ alchemist,Afroasiatic ➡️ alchemist
Afroasiatic,fundamentals,2,1,Afroasiatic ➡️ Umbria ➡️ fundamentals,Afroasiatic ➡️ fundamentals
Afroasiatic,exponent,2,1,Afroasiatic ➡️ Umbria ➡️ exponent,Afroasiatic ➡️ exponent
Afroasiatic,planography,2,1,Afroasiatic ➡️ Umbria ➡️ planography,Afroasiatic ➡️ planography
